student_pid,dataset_id
A53228642,BBSBSBSB
A53202177,SSSBSSBB
A53210397,BSBSSSBB
A53215013,SSSSSSBB
A53216516,SSSBSSSB
A53212052,SSSSBBSS
A53216518,SSSSBSSB
A53201095,SBSSBSBB
A53217617,BSSSBSBS
A98099513,BSBSBSBS
A53208651,SSSBSSSS
A53200443,SBBSSBSB
A08001117,BSSSBSBS
A53211421,BSBSSSSS
A53213937,BSSSBSBB
A53070548,SBSSBSBB
A98005611,SSSBBSSB
A53089745,SBBBSBSS
A53203175,BSBSBSBS
A53220876,BSBSSSBS
A53218602,BBBBSSBB
A53210491,BSBSSSBB
A53223244,BSBSSSBS
A53220664,SBBBSBSS
A53221859,SBBSSBSS
A53204220,BBBBBSBS
A53203195,SSSSBBSS
A53203446,SSSSBBBB
A53220055,SSSSBBSS
A53210709,SSSSSSBB
A53212517,BBBBSSBB
A91066094,BBBBSSBB
A53216658,SSSBSBBB
A53203965,SBSBBSSB
A53203966,SSSBSSBB
A53209370,SSSSBSSB
A53213354,BSBSSSSS
A53207015,SSSBSSBB
A53091182,SSSBSBBB
A53203181,SSSBSSSS
A53214078,BSBSSSSB
A53220021,SSSBSSBB
A53219777,SSSBBBBB
A53225989,SBSSBBBS
A53222305,SBBBBBSB
A53211801,SSSBSBBS
A53220043,SBBBBBSB
A53211863,BSBSSSSB
A99048469,BSSSBSBB
A53204772,SBBSSBSS
A53222854,SSSSSSBB
A53222917,BSBSSSBS
A53223155,BBBBBSBS
A53091724,SSSSBSBB
A53204571,SSSBSSSS
A53207865,SBBBSBSS
A09141151,SSSBSSSB
A53217553,SSSSSSBB
A53214162,BSSSBSBB
A53091001,BSBSSSBS
A53209671,SBSBBSSB
A53227982,SSSBSBBS
A53219500,SSSBSSSB
A53058446,BBBBSSBB
A53206643,BBBBBSBS
A53207678,SBSBBSSB
A53201624,SBBBBBSB
A53211917,SSSSSSBB
A53213478,BSBSSSSS
A53088770,SSSBSBBS
A53097956,SBSBBSSB
A53213477,SSSBSSSS
A53220135,SSSBSBBB
A53214192,SBSBBSSB
A53220223,BSBSSSSB
A10660264,SSSBSBBS
A53207007,BSBSSSSB
A53204705,SSSBSSSS
A98022702,BSBSSSSS
A53096247,SBBBBBBS
A53215182,SBBBBBBS
A08937970,BSBSSSBB
A53210041,BBSBSBSB
A53209213,SBBBBBSB
A53210761,SBBBBBSB
A00127853,BBBBBSBS
A53080809,SSSBSBBS
A53214465,BBSBSBSB
A53228576,BSSSBSBS
A09739609,SBBSSBSS
A53212795,SSSBSBBB
A53215552,BSBSSSBS
A53202335,BSBSBSBS
A53205623,SBBBBBBS
A53227801,SSSSSSBB
A53070477,SBSSBBBS
A53203033,SBSSBBBS
A53216604,SSSSBSSB
A53213872,SSSBBBBB
A53229113,SBBSSBSB
A53104529,SSSSBSBB
A53218121,BSBSSSSS
A53207045,SSSBSSSB
A53228341,SSSSBBSS
A53205019,SBBSSBSS
A13291871,SSSBSBBS
A53219632,BSSSBSBS
A53228503,SBSSBSBB
A11302948,BBSBSBSB
A53208883,SSSSBSBB
A53220640,BBBBBSBS
A53214804,SSSBBBBB
A53214122,SSSBBSSB
A53220159,SBSSBSBB
A53202646,SSSBBSSB
A53204408,BBSBSBSB
A53205204,SSSBBBBB
A10743411,BSBSSSBB
A53227688,SSSBSBBB
A53205632,SBSSBBBS
A53211051,SSSBBSSB
A53205530,SSSSBBBB
A53048780,BBBBBSBS
A53214137,SSSSBBBB
A53212389,SSSSBSSB
A53212862,SSSSBSBB
A53209077,SBBSSBSB
A53216991,BSBSSSSS
A10566076,SBSBBSSB
A53219148,SSSSBBSS
A53201515,SBSSBSBB
A53228518,SBBSSBSB
A53203634,BSSSBSBS
A53213120,SSSSBSSB
A53205212,SSSSBSSB
A53227458,SSSBBSSB
A53219498,SSSSBSBB
A53225380,SSSBBBBB
A53211044,BSBSBSBS
A07061018,SSSBBSSB
A53228136,BSSSBSBB
A53206209,SSSSBBBB
A53228033,SSSBSBBB
A53213406,BSSSBSBB
A53105993,SBBBSBSS
A53211334,BSBSSSSB
A53060769,SBBBBBBS
A53214514,SBBSSBSS
A53204900,BBSBSBSB
A53228931,SSSBBBBB
A53219654,SSSSBSBB
A53228338,SSSBSSSB
A53214922,BSBSSSSB
A53200821,SBBBSBSS
A53218665,SSSBSSBB
A53229039,SBBSSBSS
A53221873,BSSSBSBB
A53229091,SSSBSSSB
A53206591,SBBBBBBS
A53211130,SBBBBBSB
A53201459,BBBBSSBB
A53090836,BBBBSSBB
A53224865,SBBSSBSB
A53221997,SBSSBBBS
A53221613,BSBSSSBB
A53218476,SSSBSSBB
A53212800,SBSSBSBB
A50054801,SSSBSSSS
A53212966,BSBSSSBB
A53226915,SBBSSBSB
A53206319,BSBSBSBS
A09240216,BSSSBSBS
A53217445,SSSSBBSS
A53227602,SSSSBBBB
A53215124,SBBBBBBS
A53212334,SBSSBBBS
A53206917,BSBSBSBS
A53219165,BSBSSSBS
A53204236,SSSSBBBB
